year,month,email,account name,balance,net flow
2019,5,user1@mail.ru,Н ИИС,881000,
2020,5,user1@mail.ru,Н ИИС,1505000,
2021,5,user1@mail.ru,Н ИИС,2442000,
2022,5,user1@mail.ru,Н ИИС,2171000,
2023,5,user1@mail.ru,Н ИИС,2699000,
2024,5,user1@mail.ru,Н ИИС,3258000,
2025,5,user1@mail.ru,Н ИИС,3315000,
2019,6,user1@mail.ru,Н ИИС,898000,
2020,6,user1@mail.ru,Н ИИС,1541000,
2021,6,user1@mail.ru,Н ИИС,2416000,
2022,6,user1@mail.ru,Н ИИС,1817000,
2023,6,user1@mail.ru,Н ИИС,2966000,
2024,6,user1@mail.ru,Н ИИС,3261000,
2025,6,user1@mail.ru,Н ИИС,2621000,
2019,7,user1@mail.ru,Н ИИС,902000,
2020,7,user1@mail.ru,Н ИИС,1686000,
2021,7,user1@mail.ru,Н ИИС,2450000,
2022,7,user1@mail.ru,Н ИИС,2059000,
2023,7,user1@mail.ru,Н ИИС,3300000,4000
2024,7,user1@mail.ru,Н ИИС,3126000,
2025,7,user1@mail.ru,Н ИИС,1286000,-1659000
2019,8,user1@mail.ru,Н ИИС,966000,
2020,8,user1@mail.ru,Н ИИС,1735000,
2021,8,user1@mail.ru,Н ИИС,2469000,
2022,8,user1@mail.ru,Н ИИС,1996000,
2023,8,user1@mail.ru,Н ИИС,3385000,4000
2024,8,user1@mail.ru,Н ИИС,3000000,
2025,8,user1@mail.ru,Н ИИС,1317000,
2019,9,user1@mail.ru,Н ИИС,950000,
2020,9,user1@mail.ru,Н ИИС,1723000,
2021,9,user1@mail.ru,Н ИИС,2412000,
2022,9,user1@mail.ru,Н ИИС,1717000,
2023,9,user1@mail.ru,Н ИИС,3295000,4000
2024,9,user1@mail.ru,Н ИИС,3163000,
2025,9,user1@mail.ru,Н ИИС,1210000,
2019,10,user1@mail.ru,Н ИИС,950000,
2020,10,user1@mail.ru,Н ИИС,1908000,200000
2021,10,user1@mail.ru,Н ИИС,2419000,
2022,10,user1@mail.ru,Н ИИС,1938000,
2023,10,user1@mail.ru,Н ИИС,3216000,4000
2024,10,user1@mail.ru,Н ИИС,3204000,
2025,10,user1@mail.ru,Н ИИС,1160000,
2019,11,user1@mail.ru,Н ИИС,954000,
2020,11,user1@mail.ru,Н ИИС,2022000,
2021,11,user1@mail.ru,Н ИИС,2427000,
2022,11,user1@mail.ru,Н ИИС,2004000,
2023,11,user1@mail.ru,Н ИИС,3202000,4000
2024,11,user1@mail.ru,Н ИИС,3258000,
2025,11,user1@mail.ru,Н ИИС,1204000,
2019,12,user1@mail.ru,Н ИИС,1353000,400000
2020,12,user1@mail.ru,Н ИИС,2284000,200000
2021,12,user1@mail.ru,Н ИИС,2888000,400000
2022,12,user1@mail.ru,Н ИИС,2210000,
2023,12,user1@mail.ru,Н ИИС,3244000,
2024,12,user1@mail.ru,Н ИИС,3401000,
2019,1,user1@mail.ru,Российские акции,1034000,70000
2020,1,user1@mail.ru,Российские акции,3120000,400000
2021,1,user1@mail.ru,Российские акции,3753000,70000
2022,1,user1@mail.ru,Российские акции,3962000,50000
2023,1,user1@mail.ru,Российские акции,2151000,-350000
2024,1,user1@mail.ru,Российские акции,638000,
2025,1,user1@mail.ru,Российские акции,513000,100000
2019,2,user1@mail.ru,Российские акции,1050000,
2020,2,user1@mail.ru,Российские акции,3085000,60000
2021,2,user1@mail.ru,Российские акции,3797000,10000
2022,2,user1@mail.ru,Российские акции,3065000,120000
2023,2,user1@mail.ru,Российские акции,2008000,-200000
2024,2,user1@mail.ru,Российские акции,625000,
2025,2,user1@mail.ru,Российские акции,165000,-360000
2019,3,user1@mail.ru,Российские акции,1184000,120000
2020,3,user1@mail.ru,Российские акции,2957000,-55000
2021,3,user1@mail.ru,Российские акции,4037000,200000
2022,3,user1@mail.ru,Российские акции,3245000,-58000
2023,3,user1@mail.ru,Российские акции,2102000,
2024,3,user1@mail.ru,Российские акции,533000,
2025,3,user1@mail.ru,Российские акции,0,-158000
2019,4,user1@mail.ru,Российские акции,1196000,
2020,4,user1@mail.ru,Российские акции,3030000,-40000
2021,4,user1@mail.ru,Российские акции,4316000,200000
2022,4,user1@mail.ru,Российские акции,2956000,
2023,4,user1@mail.ru,Российские акции,2211000,
2024,4,user1@mail.ru,Российские акции,373000,
2025,4,user1@mail.ru,Российские акции,0,
2019,5,user1@mail.ru,Российские акции,1309000,130000
2020,5,user1@mail.ru,Российские акции,2981000,-150000
2021,5,user1@mail.ru,Российские акции,4510000,110000
2022,5,user1@mail.ru,Российские акции,2848000,
2023,5,user1@mail.ru,Российские акции,1950000,-200000
2024,5,user1@mail.ru,Российские акции,417000,
2025,5,user1@mail.ru,Российские акции,0,
2019,6,user1@mail.ru,Российские акции,1327000,
2020,6,user1@mail.ru,Российские акции,3022000,-50000
2021,6,user1@mail.ru,Российские акции,4798000,280000
2022,6,user1@mail.ru,Российские акции,2547000,-144000
2023,6,user1@mail.ru,Российские акции,1414000,-450000
2024,6,user1@mail.ru,Российские акции,407000,
2025,6,user1@mail.ru,Российские акции,0,
2019,7,user1@mail.ru,Российские акции,1368000,36000
2020,7,user1@mail.ru,Российские акции,3270000,10000
2021,7,user1@mail.ru,Российские акции,4842000,50000
2022,7,user1@mail.ru,Российские акции,2425000,-140000
2023,7,user1@mail.ru,Российские акции,1366000,-100000
2024,7,user1@mail.ru,Российские акции,368000,
2025,7,user1@mail.ru,Российские акции,0,0
2019,8,user1@mail.ru,Российские акции,1425000,
2020,8,user1@mail.ru,Российские акции,3425000,100000
2021,8,user1@mail.ru,Российские акции,4724000,-200000
2022,8,user1@mail.ru,Российские акции,2727000,200000
2023,8,user1@mail.ru,Российские акции,1258000,-130000
2024,8,user1@mail.ru,Российские акции,366000,
2025,8,user1@mail.ru,Российские акции,0,
2019,9,user1@mail.ru,Российские акции,1488000,
2020,9,user1@mail.ru,Российские акции,3371000,
2021,9,user1@mail.ru,Российские акции,4538000,-100000
2022,9,user1@mail.ru,Российские акции,2369000,200000
2023,9,user1@mail.ru,Российские акции,1324000,-91000
2024,9,user1@mail.ru,Российские акции,313000,
2025,9,user1@mail.ru,Российские акции,0,
2019,10,user1@mail.ru,Российские акции,1485000,
2020,10,user1@mail.ru,Российские акции,2952000,-300000
2021,10,user1@mail.ru,Российские акции,4437000,-180000
2022,10,user1@mail.ru,Российские акции,2736000,
2023,10,user1@mail.ru,Российские акции,1287000,
2024,10,user1@mail.ru,Российские акции,357000,
2025,10,user1@mail.ru,Российские акции,1850000,
2019,11,user1@mail.ru,Российские акции,1539000,
2020,11,user1@mail.ru,Российские акции,3228000,50000
2021,11,user1@mail.ru,Российские акции,4266000,-60000
2022,11,user1@mail.ru,Российские акции,2802000,
2023,11,user1@mail.ru,Российские акции,1291000,-23000
2024,11,user1@mail.ru,Российские акции,348000,
2025,11,user1@mail.ru,Российские акции,46134000,
2019,12,user1@mail.ru,Российские акции,1495000,
2020,12,user1@mail.ru,Российские акции,3672000,350000
2021,12,user1@mail.ru,Российские акции,4114000,-160000
2022,12,user1@mail.ru,Российские акции,2362000,-480000
2023,12,user1@mail.ru,Российские акции,940000,-220000
2024,12,user1@mail.ru,Российские акции,409000,
2019,1,user1@mail.ru,В ИИС,1067000,
2020,1,user1@mail.ru,В ИИС,523000,
2021,1,user1@mail.ru,В ИИС,1269000,
2022,1,user1@mail.ru,В ИИС,349000,
2023,1,user1@mail.ru,В ИИС,830000,
2024,1,user1@mail.ru,В ИИС,1134000,
2025,1,user1@mail.ru,В ИИС,830000,
2019,2,user1@mail.ru,В ИИС,1115000,
2020,2,user1@mail.ru,В ИИС,576000,
2021,2,user1@mail.ru,В ИИС,1292000,
2022,2,user1@mail.ru,В ИИС,360000,
2023,2,user1@mail.ru,В ИИС,871000,
2024,2,user1@mail.ru,В ИИС,1045000,
2025,2,user1@mail.ru,В ИИС,522000,360000
2019,3,user1@mail.ru,В ИИС,1213000,
2020,3,user1@mail.ru,В ИИС,471000,
2021,3,user1@mail.ru,В ИИС,673000,
2022,3,user1@mail.ru,В ИИС,527000,50000
2023,3,user1@mail.ru,В ИИС,1134000,
2024,3,user1@mail.ru,В ИИС,1043000,
2025,3,user1@mail.ru,В ИИС,426000,80000
2019,4,user1@mail.ru,В ИИС,1046000,
2020,4,user1@mail.ru,В ИИС,430000,
2021,4,user1@mail.ru,В ИИС,688000,
2022,4,user1@mail.ru,В ИИС,556000,
2023,4,user1@mail.ru,В ИИС,1355000,
2024,4,user1@mail.ru,В ИИС,1045000,
2025,4,user1@mail.ru,В ИИС,190000,
2019,5,user1@mail.ru,В ИИС,1107000,
2020,5,user1@mail.ru,В ИИС,569000,125000
2021,5,user1@mail.ru,В ИИС,665000,50000
2022,5,user1@mail.ru,В ИИС,500000,
2023,5,user1@mail.ru,В ИИС,1339000,
2024,5,user1@mail.ru,В ИИС,754000,
2025,5,user1@mail.ru,В ИИС,90000,
2019,6,user1@mail.ru,В ИИС,807000,230000
2020,6,user1@mail.ru,В ИИС,579000,35000
2021,6,user1@mail.ru,В ИИС,610000,100000
2022,6,user1@mail.ru,В ИИС,308000,
2023,6,user1@mail.ru,В ИИС,1114000,
2024,6,user1@mail.ru,В ИИС,463000,
2025,6,user1@mail.ru,В ИИС,67000,
2019,7,user1@mail.ru,В ИИС,851000,
2020,7,user1@mail.ru,В ИИС,731000,140000
2021,7,user1@mail.ru,В ИИС,501000,
2022,7,user1@mail.ru,В ИИС,668000,
2023,7,user1@mail.ru,В ИИС,986000,
2024,7,user1@mail.ru,В ИИС,338000,
2025,7,user1@mail.ru,В ИИС,97000,56000
2019,8,user1@mail.ru,В ИИС,899000,
2020,8,user1@mail.ru,В ИИС,849000,
2021,8,user1@mail.ru,В ИИС,404000,
2022,8,user1@mail.ru,В ИИС,474000,
2023,8,user1@mail.ru,В ИИС,742000,
2024,8,user1@mail.ru,В ИИС,557000,
2025,8,user1@mail.ru,В ИИС,80000,
2019,9,user1@mail.ru,В ИИС,817000,
2020,9,user1@mail.ru,В ИИС,1041000,
2021,9,user1@mail.ru,В ИИС,462000,
2022,9,user1@mail.ru,В ИИС,417000,
2023,9,user1@mail.ru,В ИИС,530000,100000
2024,9,user1@mail.ru,В ИИС,723000,
2025,9,user1@mail.ru,В ИИС,83000,
2019,10,user1@mail.ru,В ИИС,660000,
2020,10,user1@mail.ru,В ИИС,1424000,
2021,10,user1@mail.ru,В ИИС,345000,
2022,10,user1@mail.ru,В ИИС,356000,
2023,10,user1@mail.ru,В ИИС,646000,
2024,10,user1@mail.ru,В ИИС,739000,
2025,10,user1@mail.ru,В ИИС,44000,
2019,11,user1@mail.ru,В ИИС,443000,
2020,11,user1@mail.ru,В ИИС,986000,100000
2021,11,user1@mail.ru,В ИИС,327000,
2022,11,user1@mail.ru,В ИИС,375000,
2023,11,user1@mail.ru,В ИИС,1127000,200000
2024,11,user1@mail.ru,В ИИС,1163000,
2025,11,user1@mail.ru,В ИИС,52000,
2019,12,user1@mail.ru,В ИИС,540000,170000
2020,12,user1@mail.ru,В ИИС,1043000,
2021,12,user1@mail.ru,В ИИС,461000,250000
2022,12,user1@mail.ru,В ИИС,710000,400000
2023,12,user1@mail.ru,В ИИС,1217000,118000
2024,12,user1@mail.ru,В ИИС,1038000,
2019,1,user1@mail.ru,Единый спекуль,1544000,80000
2020,1,user1@mail.ru,Единый спекуль,1409000,
2021,1,user1@mail.ru,Единый спекуль,4168000,-60000
2022,1,user1@mail.ru,Единый спекуль,1805000,435000
2023,1,user1@mail.ru,Единый спекуль,2045000,350000
2024,1,user1@mail.ru,Единый спекуль,1912000,
2025,1,user1@mail.ru,Единый спекуль,3044000,-308000
2019,2,user1@mail.ru,Единый спекуль,1747000,200000
2020,2,user1@mail.ru,Единый спекуль,1515000,200000
2021,2,user1@mail.ru,Единый спекуль,3542000,-400000
2022,2,user1@mail.ru,Единый спекуль,1397000,-18000
2023,2,user1@mail.ru,Единый спекуль,2478000,200000
2024,2,user1@mail.ru,Единый спекуль,2021000,
2025,2,user1@mail.ru,Единый спекуль,2445000,
2019,3,user1@mail.ru,Единый спекуль,1953000,300000
2020,3,user1@mail.ru,Единый спекуль,1698000,95000
2021,3,user1@mail.ru,Единый спекуль,3928000,
2022,3,user1@mail.ru,Единый спекуль,1474000,48000
2023,3,user1@mail.ru,Единый спекуль,2611000,
2024,3,user1@mail.ru,Единый спекуль,2153000,
2025,3,user1@mail.ru,Единый спекуль,1888000,128000
2019,4,user1@mail.ru,Единый спекуль,2015000,50000
2020,4,user1@mail.ru,Единый спекуль,1886000,330000
2021,4,user1@mail.ru,Единый спекуль,4213000,
2022,4,user1@mail.ru,Единый спекуль,1187000,
2023,4,user1@mail.ru,Единый спекуль,2700000,-125000
2024,4,user1@mail.ru,Единый спекуль,2064000,-110000
2025,4,user1@mail.ru,Единый спекуль,1206000,12000
2019,5,user1@mail.ru,Единый спекуль,2222000,250000
2020,5,user1@mail.ru,Единый спекуль,2140000,250000
2021,5,user1@mail.ru,Единый спекуль,4395000,
2022,5,user1@mail.ru,Единый спекуль,1079000,
2023,5,user1@mail.ru,Единый спекуль,2815000,200000
2024,5,user1@mail.ru,Единый спекуль,1976000,
2025,5,user1@mail.ru,Единый спекуль,894000,
2019,6,user1@mail.ru,Единый спекуль,2237000,-45000
2020,6,user1@mail.ru,Единый спекуль,2446000,250000
2021,6,user1@mail.ru,Единый спекуль,4176000,200000
2022,6,user1@mail.ru,Единый спекуль,1113000,144000
2023,6,user1@mail.ru,Единый спекуль,3023000,200000
2024,6,user1@mail.ru,Единый спекуль,1589000,
2025,6,user1@mail.ru,Единый спекуль,879000,40000
2019,7,user1@mail.ru,Единый спекуль,2521000,214000
2020,7,user1@mail.ru,Единый спекуль,2912000,400000
2021,7,user1@mail.ru,Единый спекуль,4387000,
2022,7,user1@mail.ru,Единый спекуль,1420000,-100000
2023,7,user1@mail.ru,Единый спекуль,2643000,100000
2024,7,user1@mail.ru,Единый спекуль,1598000,-70000
2025,7,user1@mail.ru,Единый спекуль,926000,
2019,8,user1@mail.ru,Единый спекуль,2826000,210000
2020,8,user1@mail.ru,Единый спекуль,3080000,200000
2021,8,user1@mail.ru,Единый спекуль,3767000,200000
2022,8,user1@mail.ru,Единый спекуль,1432000,200000
2023,8,user1@mail.ru,Единый спекуль,2223000,
2024,8,user1@mail.ru,Единый спекуль,1795000,-110000
2025,8,user1@mail.ru,Единый спекуль,902000,30000
2019,9,user1@mail.ru,Единый спекуль,2773000,
2020,9,user1@mail.ru,Единый спекуль,3007000,
2021,9,user1@mail.ru,Единый спекуль,2657000,130000
2022,9,user1@mail.ru,Единый спекуль,1531000,
2023,9,user1@mail.ru,Единый спекуль,2017000,
2024,9,user1@mail.ru,Единый спекуль,1713000,-35000
2025,9,user1@mail.ru,Единый спекуль,1186000,280000
2019,10,user1@mail.ru,Единый спекуль,2921000,100000
2020,10,user1@mail.ru,Единый спекуль,3497000,400000
2021,10,user1@mail.ru,Единый спекуль,2234000,200000
2022,10,user1@mail.ru,Единый спекуль,1400000,
2023,10,user1@mail.ru,Единый спекуль,2118000,
2024,10,user1@mail.ru,Единый спекуль,2056000,
2025,10,user1@mail.ru,Единый спекуль,1186000,172000
2019,11,user1@mail.ru,Единый спекуль,2949000,
2020,11,user1@mail.ru,Единый спекуль,3753000,10000
2021,11,user1@mail.ru,Единый спекуль,2475000,300000
2022,11,user1@mail.ru,Единый спекуль,1376000,
2023,11,user1@mail.ru,Единый спекуль,2558000,-139000
2024,11,user1@mail.ru,Единый спекуль,2447000,-30000
2025,11,user1@mail.ru,Единый спекуль,975000,
2019,12,user1@mail.ru,Единый спекуль,2594000,-420000
2020,12,user1@mail.ru,Единый спекуль,3961000,39000
2021,12,user1@mail.ru,Единый спекуль,2656000,
2022,12,user1@mail.ru,Единый спекуль,1692000,80000
2023,12,user1@mail.ru,Единый спекуль,2156000,-673000
2024,12,user1@mail.ru,Единый спекуль,3300000,-100000
2023,4,user1@mail.ru,Ойропа,5000,5000
2023,5,user1@mail.ru,Ойропа,10000,5000
2023,6,user1@mail.ru,Ойропа,15000,5000
2023,7,user1@mail.ru,Ойропа,31000,15000
2023,8,user1@mail.ru,Ойропа,29000,
2023,9,user1@mail.ru,Ойропа,27000,
2023,10,user1@mail.ru,Ойропа,26000,
2023,11,user1@mail.ru,Ойропа,38000,10000
2023,12,user1@mail.ru,Ойропа,44000,0
2024,1,user1@mail.ru,Ойропа,43000,
2025,1,user1@mail.ru,Ойропа,68000,
2024,2,user1@mail.ru,Ойропа,46000,2000
2025,2,user1@mail.ru,Ойропа,61000,1000
2024,3,user1@mail.ru,Ойропа,55000,6000
2025,3,user1@mail.ru,Ойропа,64000,8000
2024,4,user1@mail.ru,Ойропа,50000,2000
2025,4,user1@mail.ru,Ойропа,65000,-1000
2024,5,user1@mail.ru,Ойропа,56000,0
2025,5,user1@mail.ru,Ойропа,72000,-1000
2024,6,user1@mail.ru,Ойропа,55000,
2025,6,user1@mail.ru,Ойропа,71000,
2024,7,user1@mail.ru,Ойропа,58000,0
2025,7,user1@mail.ru,Ойропа,77000,1000
2024,8,user1@mail.ru,Ойропа,55000,
2025,8,user1@mail.ru,Ойропа,54000,-24000
2024,9,user1@mail.ru,Ойропа,56000,0
2025,9,user1@mail.ru,Ойропа,60000,2000
2024,10,user1@mail.ru,Ойропа,58000,1000
2025,10,user1@mail.ru,Ойропа,62000,6000
2024,11,user1@mail.ru,Ойропа,67000,
2025,11,user1@mail.ru,Ойропа,60000,
2024,12,user1@mail.ru,Ойропа,65000,2000
2020,6,user1@mail.ru,USA nasty2020,15000,15000
2020,7,user1@mail.ru,USA nasty2020,15000,
2020,8,user1@mail.ru,USA nasty2020,15200,
2020,9,user1@mail.ru,USA nasty2020,15000,
2020,10,user1@mail.ru,USA nasty2020,15000,
2020,11,user1@mail.ru,USA nasty2020,16400,
2020,12,user1@mail.ru,USA nasty2020,16700,
2021,1,user1@mail.ru,USA nasty2020,17000,
2022,1,user1@mail.ru,USA nasty2020,17000,
2023,1,user1@mail.ru,USA nasty2020,43000,
2024,1,user1@mail.ru,USA nasty2020,43000,
2025,1,user1@mail.ru,USA nasty2020,58000,
2021,2,user1@mail.ru,USA nasty2020,17500,
2022,2,user1@mail.ru,USA nasty2020,16600,
2023,2,user1@mail.ru,USA nasty2020,42500,
2024,2,user1@mail.ru,USA nasty2020,39500,
2025,2,user1@mail.ru,USA nasty2020,58300,
2021,3,user1@mail.ru,USA nasty2020,17500,
2022,3,user1@mail.ru,USA nasty2020,15200,
2023,3,user1@mail.ru,USA nasty2020,42900,
2024,3,user1@mail.ru,USA nasty2020,36800,
2025,3,user1@mail.ru,USA nasty2020,58000,
2021,4,user1@mail.ru,USA nasty2020,17900,
2022,4,user1@mail.ru,USA nasty2020,14300,
2023,4,user1@mail.ru,USA nasty2020,48000,9000
2024,4,user1@mail.ru,USA nasty2020,38900,
2025,4,user1@mail.ru,USA nasty2020,59300,
2021,5,user1@mail.ru,USA nasty2020,18000,
2022,5,user1@mail.ru,USA nasty2020,14300,
2023,5,user1@mail.ru,USA nasty2020,45900,4000
2024,5,user1@mail.ru,USA nasty2020,41300,
2025,5,user1@mail.ru,USA nasty2020,62700,
2021,6,user1@mail.ru,USA nasty2020,17900,
2022,6,user1@mail.ru,USA nasty2020,13100,
2023,6,user1@mail.ru,USA nasty2020,44200,
2024,6,user1@mail.ru,USA nasty2020,40000,
2025,6,user1@mail.ru,USA nasty2020,65600,
2021,7,user1@mail.ru,USA nasty2020,17700,
2022,7,user1@mail.ru,USA nasty2020,41000,27100
2023,7,user1@mail.ru,USA nasty2020,45300,
2024,7,user1@mail.ru,USA nasty2020,37500,
2025,7,user1@mail.ru,USA nasty2020,69100,
2021,8,user1@mail.ru,USA nasty2020,17400,
2022,8,user1@mail.ru,USA nasty2020,40700,
2023,8,user1@mail.ru,USA nasty2020,43500,
2024,8,user1@mail.ru,USA nasty2020,38300,1500
2025,8,user1@mail.ru,USA nasty2020,70000,
2021,9,user1@mail.ru,USA nasty2020,16900,
2022,9,user1@mail.ru,USA nasty2020,38700,
2023,9,user1@mail.ru,USA nasty2020,45800,
2024,9,user1@mail.ru,USA nasty2020,42000,
2025,9,user1@mail.ru,USA nasty2020,71300,
2021,10,user1@mail.ru,USA nasty2020,16700,
2022,10,user1@mail.ru,USA nasty2020,39300,
2023,10,user1@mail.ru,USA nasty2020,46000,
2024,10,user1@mail.ru,USA nasty2020,40500,
2025,10,user1@mail.ru,USA nasty2020,72000,
2021,11,user1@mail.ru,USA nasty2020,16600,
2022,11,user1@mail.ru,USA nasty2020,40600,
2023,11,user1@mail.ru,USA nasty2020,48000,
2024,11,user1@mail.ru,USA nasty2020,53700,0
2025,11,user1@mail.ru,USA nasty2020,69600,
2021,12,user1@mail.ru,USA nasty2020,17100,
2022,12,user1@mail.ru,USA nasty2020,41300,
2023,12,user1@mail.ru,USA nasty2020,46700,
2024,12,user1@mail.ru,USA nasty2020,55200,
2022,8,user1@mail.ru,USA homek2020,6900,6500
2022,9,user1@mail.ru,USA homek2020,6300,
2022,10,user1@mail.ru,USA homek2020,6600,
2022,11,user1@mail.ru,USA homek2020,6700,
2022,12,user1@mail.ru,USA homek2020,5900,
2023,1,user1@mail.ru,USA homek2020,7000,
2024,1,user1@mail.ru,USA homek2020,9900,
2025,1,user1@mail.ru,USA homek2020,11100,
2023,2,user1@mail.ru,USA homek2020,6800,
2024,2,user1@mail.ru,USA homek2020,10100,
2025,2,user1@mail.ru,USA homek2020,11800,
2023,3,user1@mail.ru,USA homek2020,7500,
2024,3,user1@mail.ru,USA homek2020,10100,
2025,3,user1@mail.ru,USA homek2020,11300,
2023,4,user1@mail.ru,USA homek2020,7300,
2024,4,user1@mail.ru,USA homek2020,9700,
2025,4,user1@mail.ru,USA homek2020,10800,
2023,5,user1@mail.ru,USA homek2020,8600,
2024,5,user1@mail.ru,USA homek2020,10000,
2025,5,user1@mail.ru,USA homek2020,12000,
2023,6,user1@mail.ru,USA homek2020,8800,
2024,6,user1@mail.ru,USA homek2020,10300,
2025,6,user1@mail.ru,USA homek2020,12000,
2023,7,user1@mail.ru,USA homek2020,9600,
2024,7,user1@mail.ru,USA homek2020,10800,
2025,7,user1@mail.ru,USA homek2020,12100,
2023,8,user1@mail.ru,USA homek2020,8800,
2024,8,user1@mail.ru,USA homek2020,10800,
2025,8,user1@mail.ru,USA homek2020,11600,
2023,9,user1@mail.ru,USA homek2020,8700,
2024,9,user1@mail.ru,USA homek2020,10900,
2025,9,user1@mail.ru,USA homek2020,11800,
2023,10,user1@mail.ru,USA homek2020,8500,
2024,10,user1@mail.ru,USA homek2020,10700,
2025,10,user1@mail.ru,USA homek2020,11900,
2023,11,user1@mail.ru,USA homek2020,9700,
2024,11,user1@mail.ru,USA homek2020,10900,
2025,11,user1@mail.ru,USA homek2020,11100,
2023,12,user1@mail.ru,USA homek2020,9800,
2024,12,user1@mail.ru,USA homek2020,10900,
2019,1,user1@mail.ru,Стратежный спекуль,149000,150000
2020,1,user1@mail.ru,Стратежный спекуль,164000,
2021,1,user1@mail.ru,Стратежный спекуль,38000,
2022,1,user1@mail.ru,Стратежный спекуль,267000,-435000
2023,1,user1@mail.ru,Стратежный спекуль,406000,5000
2024,1,user1@mail.ru,Стратежный спекуль,715000,4000
2025,1,user1@mail.ru,Стратежный спекуль,157000,
2019,2,user1@mail.ru,Стратежный спекуль,154000,
2020,2,user1@mail.ru,Стратежный спекуль,285000,150000
2021,2,user1@mail.ru,Стратежный спекуль,457000,500000
2022,2,user1@mail.ru,Стратежный спекуль,144000,26000
